timestep,reward
173020,7.383
173413,6.077
173813,7.971
174185,5.367
174631,10.105
175063,5.167
175448,11.2
175841,11.462
176227,6.919
176639,7.2
177017,6.291
177384,6.366
177761,9.622
178090,9.2
178497,9.407
178882,6.846
179245,7.483
179636,5.236
179986,6.182
180385,7.65
180761,6.616
181185,3.35
181582,9.928
182015,10.191
182404,4.632
182787,6.746
183202,8.058
183582,9.042
184002,7.339
184399,6.205
184764,6.512
185160,5.749
185566,3.743
186009,7.963
186413,4.823
186794,5.417
187218,7.42
187578,5.258
187952,5.292
188367,10.265
188716,6.919
189092,6.695
189473,9.294
189840,5.893
190211,4.68
190605,6.275
190975,9.898
191423,9.331
191788,8.458
192207,5.802
192572,8.245
192977,9.61
193335,6.719
193709,6.231
194098,7.506
194508,7.701
194899,7.409
195304,8.272
195696,8.525
196140,10.378
196516,9.195
196960,10.023
197388,5.105
197820,7.823
198218,8.353
198610,7.786
199042,6.506
199455,9.834
199898,8.822
200263,8.3
200675,2.122
201082,6.199
201468,7.189
201921,7.929
202292,11.431
202680,4.706
203077,8.64
203469,6.565
203870,4.024
204315,10.289
204706,6.276
205156,7.167
205557,7.952
205929,9.687
206328,7.124
206761,9.978
207140,4.761
207482,8.632
207896,7.459
208291,7.554
208687,9.353
209080,3.893
209447,7.25
209804,10.113
210255,7.996
210630,6.448
211020,9.344
211444,5.435
211847,7.487
212221,6.422
212658,9.487
213040,8.498
213459,7.138
213857,6.266
214243,7.076
214598,4.782
214996,7.505
215368,10.533
215783,5.337
216151,5.837
216569,6.789
